X,CH1,Start,Increment,
Sequence,Volt,-2.495000e+00,5.000000e-03
0,-2.00e+00,
1,2.00e+00,
2,2.00e+00,
3,-2.00e+00,
4,2.00e+00,
5,-2.00e+00,
6,2.00e+00,
7,-2.00e+00,
8,2.00e+00,
9,0.00e+00,
10,2.00e+00,
11,-2.00e+00,
12,2.00e+00,
13,-2.00e+00,
14,2.00e+00,
15,-2.00e+00,
16,2.00e+00,
17,-2.00e+00,
18,2.00e+00,
19,-2.00e+00,
20,2.00e+00,
21,-2.00e+00,
22,2.00e+00,
23,-2.00e+00,
24,2.00e+00,
25,-2.00e+00,
26,2.00e+00,
27,-2.00e+00,
28,0.00e+00,
29,2.00e+00,
30,2.00e+00,
31,-2.00e+00,
32,0.00e+00,
33,2.00e+00,
34,0.00e+00,
35,2.00e+00,
36,0.00e+00,
37,2.00e+00,
38,2.00e+00,
39,-2.00e+00,
40,2.00e+00,
41,-2.00e+00,
42,0.00e+00,
43,2.00e+00,
44,2.00e+00,
45,-2.00e+00,
46,0.00e+00,
47,2.00e+00,
48,2.00e+00,
49,0.00e+00,
50,2.00e+00,
51,0.00e+00,
52,2.00e+00,
53,0.00e+00,
54,0.00e+00,
55,2.00e+00,
56,2.00e+00,
57,-2.00e+00,
58,2.00e+00,
59,0.00e+00,
60,2.00e+00,
61,0.00e+00,
62,0.00e+00,
63,2.00e+00,
64,2.00e+00,
65,0.00e+00,
66,0.00e+00,
67,2.00e+00,
68,0.00e+00,
69,2.00e+00,
70,2.00e+00,
71,0.00e+00,
72,2.00e+00,
73,0.00e+00,
74,0.00e+00,
75,2.00e+00,
76,0.00e+00,
77,2.00e+00,
78,2.00e+00,
79,0.00e+00,
80,0.00e+00,
81,2.00e+00,
82,0.00e+00,
83,2.00e+00,
84,2.00e+00,
85,-2.00e+00,
86,2.00e+00,
87,-2.00e+00,
88,0.00e+00,
89,2.00e+00,
90,0.00e+00,
91,2.00e+00,
92,2.00e+00,
93,0.00e+00,
94,0.00e+00,
95,2.00e+00,
96,0.00e+00,
97,2.00e+00,
98,2.00e+00,
99,0.00e+00,
100,0.00e+00,
101,2.00e+00,
102,0.00e+00,
103,2.00e+00,
104,0.00e+00,
105,2.00e+00,
106,0.00e+00,
107,2.00e+00,
108,2.00e+00,
109,0.00e+00,
110,2.00e+00,
111,0.00e+00,
112,0.00e+00,
113,2.00e+00,
114,2.00e+00,
115,0.00e+00,
116,2.00e+00,
117,0.00e+00,
118,2.00e+00,
119,0.00e+00,
120,2.00e+00,
121,0.00e+00,
122,2.00e+00,
123,0.00e+00,
124,2.00e+00,
125,0.00e+00,
126,2.00e+00,
127,0.00e+00,
128,0.00e+00,
129,2.00e+00,
130,0.00e+00,
131,2.00e+00,
132,0.00e+00,
133,2.00e+00,
134,2.00e+00,
135,0.00e+00,
136,2.00e+00,
137,0.00e+00,
138,0.00e+00,
139,2.00e+00,
140,2.00e+00,
141,0.00e+00,
142,2.00e+00,
143,0.00e+00,
144,2.00e+00,
145,0.00e+00,
146,0.00e+00,
147,2.00e+00,
148,2.00e+00,
149,0.00e+00,
150,2.00e+00,
151,-2.00e+00,
152,0.00e+00,
153,2.00e+00,
154,2.00e+00,
155,0.00e+00,
156,2.00e+00,
157,0.00e+00,
158,0.00e+00,
159,2.00e+00,
160,2.00e+00,
161,0.00e+00,
162,2.00e+00,
163,0.00e+00,
164,2.00e+00,
165,0.00e+00,
166,2.00e+00,
167,0.00e+00,
168,0.00e+00,
169,2.00e+00,
170,2.00e+00,
171,0.00e+00,
172,0.00e+00,
173,2.00e+00,
174,2.00e+00,
175,-2.00e+00,
176,0.00e+00,
177,2.00e+00,
178,0.00e+00,
179,2.00e+00,
180,2.00e+00,
181,-2.00e+00,
182,2.00e+00,
183,-2.00e+00,
184,2.00e+00,
185,0.00e+00,
186,2.00e+00,
187,-2.00e+00,
188,2.00e+00,
189,-2.00e+00,
190,2.00e+00,
191,-2.00e+00,
192,2.00e+00,
193,-2.00e+00,
194,2.00e+00,
195,-2.00e+00,
196,2.00e+00,
197,0.00e+00,
198,0.00e+00,
199,2.00e+00,
200,2.00e+00,
201,-2.00e+00,
202,2.00e+00,
203,0.00e+00,
204,2.00e+00,
205,-2.00e+00,
206,2.00e+00,
207,-2.00e+00,
208,2.00e+00,
209,0.00e+00,
210,2.00e+00,
211,0.00e+00,
212,2.00e+00,
213,0.00e+00,
214,2.00e+00,
215,-2.00e+00,
216,0.00e+00,
217,2.00e+00,
218,2.00e+00,
219,-2.00e+00,
220,0.00e+00,
221,2.00e+00,
222,0.00e+00,
223,2.00e+00,
224,2.00e+00,
225,0.00e+00,
226,2.00e+00,
227,-2.00e+00,
228,0.00e+00,
229,2.00e+00,
230,2.00e+00,
231,-2.00e+00,
232,2.00e+00,
233,-2.00e+00,
234,2.00e+00,
235,-2.00e+00,
236,2.00e+00,
237,-2.00e+00,
238,2.00e+00,
239,-2.00e+00,
240,2.00e+00,
241,-2.00e+00,
242,2.00e+00,
243,-2.00e+00,
244,0.00e+00,
245,4.00e+00,
246,-2.00e+00,
247,4.00e+00,
248,2.00e+00,
249,1.00e+01,
250,6.00e+00,
251,1.20e+01,
252,1.00e+01,
253,1.60e+01,
254,1.40e+01,
255,1.80e+01,
256,1.60e+01,
257,2.40e+01,
258,2.00e+01,
259,2.60e+01,
260,2.20e+01,
261,2.80e+01,
262,2.40e+01,
263,3.20e+01,
264,3.00e+01,
265,3.40e+01,
266,3.20e+01,
267,3.80e+01,
268,3.60e+01,
269,4.00e+01,
270,3.60e+01,
